,text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
4635,"지금 여자들 다 이재명이 너무 좋아서 이재명 뽑는 게 아니다. 박지현님 한 분 보고 전략투표하는거다.윤 되면 준석,신남연과 함께 여성을 임신, 출산 기계로 대할 것이다. 그들의 의지는 노골적으로 정책에 드러날 것이다.난 최악의 정치 지도자에 의해 여성을 잃고싶지 않다. 아주 절박한 문제.",0.65,0.05,0.02,0.02,0.01,0.01,0.01,0.02,0.07,0.28
4708,박지현이 정치판에 들어 오는건 좋다 이건데 어떻게 소비 되는지 봐야지지금 만주당 여성 단체 출신 으원들 어깨뽕 무거워 져서 지들은 이제 안 움직이잖아요?그 대신 얼굴마담 해줄 애 하나 끌어온거지정치 이용 하겠다며 들어 와서 하는 일이 여성단체 들러리잖어 ㅉㅉ,0.66,0.01,0.01,0.05,0.01,0.02,0.01,0.06,0.21,0.18
4709, 당신들은 민주당 없으면 어찌 살았을까??여성을 위한 전략투표??박지현활동가 라이브 시간 맞춰 기자회견하는 그전략??왜 윤가 여성정책에 대해선 암말안해?여가부폐지하고 성인지예산 자르고 페미니즘 헛소리해대고 차별금지법 반대하는 그 국힘 윤가놈한테는 왜 찍소리 못하지?,0.73,0.01,0.02,0.05,0.01,0.02,0.01,0.1,0.22,0.12
4731,#추적단불꽃_박지현_킹메이커 #이대녀는_이재명으로_정했다여자들이 기본적인 권리를 당연하게 누릴 수 있는 세상이 되길 바랍니다 ,0.86,0.06,0.03,0.03,0.01,0.02,0.01,0.02,0.04,0.13
4885,"지금도 성폭력피해자들은 무고죄로 역고소 당할까봐 무서워 신고를 하지 못해, 성범죄 신고율은 10%밖에 되지 못합니다. 무고죄가 강화된다면 피해자들은 더욱 더 아래로 묻혀가게 됩니다. 또 여가부가 사라져 지원받지 못하면, 피해회복조차 못해 점점 여자들은 사라지게 됩니다. 여자도 사람입니다.",0.77,0.02,0.02,0.01,0.01,0.01,0.01,0.04,0.09,0.16
4921, 성매매 알선범도 변호 했네.자칭 인권변호사라는게 변호한게 강간도 있어.이런 새끼를 지지하는페미라하면 볼것도 없이 사이비지 ㅋ,0.72,0.01,0.03,0.05,0.02,0.02,0.11,0.28,0.12,0.03
4932,"""페미니스트 여성 유권자들을 생각도 없이 현혹 당해 투표하는 사람들로 인식하는 자체가 너무나 한심하다. 박지현이 그렇게도 신경쓰이니?""",0.74,0.01,0.02,0.01,0.01,0.02,0.01,0.04,0.17,0.15
4943,1. 여자표는 정의당에 맡겨둔 것이 아님 그러니 표를 훔친다는 것 자체가 애당초 말도 안됨2.민주당의 기상천외한 선거운동이 뭔지 모르겠음 설마 불꽃 박지현님을 가리키는 말은 아니겠지?3. 설령 그런 선거운동이 있어도 여자들을 거기에 속아넘어가는 모지리 취급하는 거 웃기고 빡침 ,0.73,0.01,0.02,0.01,0.01,0.02,0.01,0.04,0.16,0.16
4966,여성의 삶을 바꾸는 건 페미팔이나 하고 조댕이로만 여성 인권 찾는 정의당 꼴패미들이 아닌 박지현같은 사람. 든든하다. ,0.92,0.03,0.03,0.04,0.02,0.02,0.01,0.09,0.07,0.05
4981,2030여들이 뭣도모르고 페미에목건다그러는데그거뻔히알면서 여자표 똥표취급하는놈 뭣하러뽑아줘야함이라고 속은 다를거없는거아는데 박지현선생님봐서 뽑는다진짜,0.85,0.03,0.02,0.02,0.03,0.02,0.01,0.04,0.06,0.08
4982," 가짜 페미니스트 박지현 주도 2030이재명 지지선언 7천여명 서명.문꿀오소리, 윤석열 지지선언 1만 6천여명 (80프로가 3040 여성). 숫자로도 승리 ㅋ",0.9,0.02,0.02,0.03,0.08,0.03,0.01,0.12,0.06,0.07
5010,박지현인가 뭔가 2030여성 행사한다고 하건 초 성황리에 진행중인가요?ㅋ  트페미들 결의가 하늘을 뚫던데?ㅋㅋ,0.64,0.03,0.03,0.01,0.01,0.01,0.01,0.02,0.08,0.33
5015,3040女 주력 '문꿀 오소리부대'도 윤석열 지지..친문 이탈 가속 | 다음뉴스트위터로 페미니즘 배웠어요 라며 날뛰는 것들이 박지현을 구심점으로 이재명 지지 하고 날뛰니 왕언니들이 가만히 있것어?산전수전공중전 다 겪으신 분들이 보기에 얼마나 같잖것어 ,0.61,0.02,0.02,0.02,0.21,0.08,0.01,0.28,0.09,0.05
5024,한국여자 좆 되든 말든 상관 하등 없을 기득권 여성이 여성이라는 이유만으로 여성 표 갈라먹고 뻔뻔하게 10% 득표 호소하는 현실이 진짜 참담하다왜 여자들이 심상정한테 부채감 죄책감을 느끼지? 96년생 박지현 위원장은 안 보이나? 왜 페미니스트인 척 하세요? ,0.86,0.05,0.01,0.03,0.01,0.02,0.01,0.03,0.07,0.06
5070,불꽃 박지현님이 민주당을 선택한 이유 이 사진 한장으로도 설명 가능왜 안티페미들이 이재명이 당선되면 자살한다고 하게?? ,0.75,0.02,0.02,0.01,0.01,0.02,0.01,0.03,0.09,0.26
